lang_code,id,uin,name,email,mobile,status_code,regcntr_id,last_login_method,is_active,eff_dtimes
eng,110032,9317596770,Sravan Kalla,ewan.marsh@xyz.com,818876433,ACT,10002,PWD,True,now()
eng,110033,9317596771,Nikola Tesla,nikola.tesla@xyz.com,818876434,ACT,10005,PWD,True,now()
eng,110034,9317596772,Graham Bell,graham.bell@xyz.com,818876435,ACT,10005,PWD,True,now()
eng,110035,9317596773,Albert Miles,albert.miles@xyz.com,818876436,ACT,10005,PWD,True,now()
eng,110036,9317596774,Krishnan,krish@mosip.io,818876437,ACT,10006,PWD,True,now()
eng,110037,9317596775,Sayeri Mishra,elvis.ibarra@xyz.com,818876438,ACT,10006,PWD,True,now()
eng,110038,9317596776,Rounak Nayak,rounak.nayak@mindtree.com,8763740607,ACT,10006,PWD,True,now()
eng,110039,9317596777,Girish Yarru,Girish@xyz.com,818876440,ACT,10006,PWD,True,now()
eng,110040,9317596778,Shekhar Suman,Shekhar@xyz.com,818876441,ACT,10006,PWD,True,now()
eng,110041,9317596779,Nagalakshmi Nithyanandan,Nagalakshmi@xyz.com,818876442,ACT,10006,PWD,True,now()
eng,110042,9317596780,Sowmya Ujjappa Banakar,Sowmya@xyz.com,818876443,ACT,10006,PWD,True,now()
eng,110043,9317596781,Horteppa Pujari,Horteppa@xyz.com,818876444,ACT,10006,PWD,True,now()
eng,110044,9317596782,Rishabh Keshari,Rishabh@xyz.com,818876445,ACT,10006,PWD,True,now()
eng,110045,9317596783,Jyoti Prakash Nayak,Jyoti@xyz.com,818876446,ACT,10006,PWD,True,now()
eng,110046,9317596784,Mukul Puspam,Mukul@xyz.com,818876447,ACT,10006,PWD,True,now()
eng,110047,9317596785,Pranav Kumar,Pranav@xyz.com,818876448,ACT,10006,PWD,True,now()
eng,110048,9317596786,Sanjay Shivaji Zende,Sanjay@xyz.com,818876449,ACT,10006,PWD,True,now()
eng,110049,9317596787,Monobikash Das,Monobikash@xyz.com,818876450,ACT,10006,PWD,True,now()
eng,110050,9317596788,Riju Pragyna Jain,Riju@xyz.com,818876451,ACT,10006,PWD,True,now()
eng,110051,9317596789,Ayush Keer,Ayush@xyz.com,818876452,ACT,10006,PWD,True,now()
eng,110052,9317596790,Karthik Ramanan,Karthik@xyz.com,818876453,ACT,10006,PWD,True,now()
eng,110053,9317596791,Anand,Anand@xyz.com,818876454,ACT,10006,PWD,True,now()
eng,110054,9317596792,Technoforte User,technoforte@xyz.com,818876455,ACT,10006,PWD,True,now()
eng,110055,9317596793,Ranjitha Siddegowda,Ranjitha@xyz.com,818876456,ACT,10006,PWD,True,now()
eng,110056,9317596794,Alok Ranjan,Alok@xyz.com,818876457,ACT,10006,PWD,True,now()
eng,110057,9317596795,Sudheer Murthy,Sudheer@xyz.com,818876458,ACT,10006,PWD,True,now()
eng,110058,9317596796,Taleev,Taleev@xyz.com,818876459,ACT,10007,PWD,True,now()
eng,110059,9317596797,Brahma,Brahma@xyz.com,818876460,ACT,10007,PWD,True,now()
eng,110060,9317596798,Rishabh Keshari,Rishabh@xyz.com,818876461,ACT,10007,PWD,True,now()
eng,110061,9317596799,Kiranraj,Kiranraj@xyz.com,818876462,ACT,10007,PWD,True,now()
eng,110062,9317596800,Phillipines User 1,puser1@xyz.com,818876463,ACT,10008,PWD,True,now()
eng,110063,9317596801,Phillipines User 2,puser2@xyz.com,818876464,ACT,10008,PWD,True,now()
eng,110064,9317596802,Phillipines User 3,puser3@xyz.com,818876465,ACT,10008,PWD,True,now()
eng,110065,9317596803,Krishnan,krishnan@xyz.com,818876466,ACT,10008,PWD,True,now()
eng,110066,9317596804,Gururaj 1,Gururaj1@xyz.com,818876467,ACT,10008,PWD,True,now()
eng,110067,9317596805,Gururaj 2,Gururaj2@xyz.com,818876468,ACT,10008,PWD,True,now()
eng,110068,9317596806,Technoforte User 2,technoforte2@xyz.com,818876469,ACT,10008,PWD,True,now()
eng,110069,9317596807,Yadimala,Yadimala@xyz.com,818876470,ACT,10008,PWD,True,now()
eng,110070,9317596808,Dummy User,Dummy@xyz.com,818876471,ACT,10008,PWD,True,now()
eng,110071,9317596809,Dummy User,Dummy@xyz.com,818876472,ACT,10008,PWD,True,now()
eng,110072,9317596810,Dummy User,Dummy@xyz.com,818876473,ACT,10008,PWD,True,now()
eng,110073,9317596811,Dummy User,Dummy@xyz.com,818876474,ACT,10008,PWD,True,now()
eng,110074,9317596812,Dummy User,Dummy@xyz.com,818876475,ACT,10008,PWD,True,now()
eng,110075,9317596813,Dummy User,Dummy@xyz.com,818876476,ACT,10002,PWD,True,now()
eng,110076,9317596814,Dummy User,Dummy@xyz.com,818876477,ACT,10001,PWD,True,now()
eng,110077,9317596815,Dummy User,Dummy@xyz.com,818876478,ACT,10002,PWD,True,now()
eng,110078,9317596816,Dummy User,Dummy@xyz.com,818876479,ACT,10001,PWD,True,now()
eng,110079,9317596817,Dummy User,Dummy@xyz.com,818876480,ACT,10002,PWD,True,now()
eng,110080,9317596818,Dummy User,Dummy@xyz.com,818876481,ACT,10001,PWD,True,now()
eng,110081,9317596819,Dummy User,Dummy@xyz.com,818876482,ACT,10002,PWD,True,now()
eng,110082,9317596820,Dummy User,Dummy@xyz.com,818876483,ACT,33333,PWD,True,now()
eng,110083,9317596821,Dummy User,Dummy@xyz.com,818876484,ACT,10001,PWD,True,now()
eng,110084,9317596822,Dummy User,Dummy@xyz.com,818876485,ACT,10001,PWD,True,now()
eng,110085,9317596823,Dummy User,Dummy@xyz.com,818876486,ACT,10002,PWD,True,now()
eng,110086,9317596824,Dummy User,Dummy@xyz.com,818876487,ACT,10002,PWD,True,now()
eng,110087,9317596825,Dummy User,Dummy@xyz.com,818876488,ACT,10001,PWD,True,now()
eng,110088,9317596826,Dummy User,Dummy@xyz.com,818876489,ACT,10001,PWD,True,now()
eng,110089,9317596827,Dummy User,Dummy@xyz.com,818876490,ACT,10002,PWD,True,now()
eng,110090,9317596828,Dummy User,Dummy@xyz.com,818876491,ACT,10008,PWD,True,now()
eng,110091,9317596829,Dummy User,Dummy@xyz.com,818876492,ACT,10008,PWD,True,now()
eng,110092,9317596830,Dummy User,Dummy@xyz.com,818876493,ACT,10008,PWD,True,now()
eng,110093,9317596831,Dummy User,Dummy@xyz.com,818876494,ACT,10008,PWD,True,now()
eng,110094,9317596832,Dummy User,Dummy@xyz.com,818876495,ACT,10008,PWD,True,now()
eng,110095,9317596833,Dummy User,Dummy@xyz.com,818876496,ACT,10008,PWD,True,now()
eng,110096,9317596834,Dummy User,Dummy@xyz.com,818876497,ACT,10008,PWD,True,now()
eng,110097,9317596835,Dummy User,Dummy@xyz.com,818876498,ACT,10008,PWD,True,now()
eng,110098,9317596836,Dummy User,Dummy@xyz.com,818876499,ACT,10008,PWD,True,now()
eng,110099,9317596837,Dummy User,Dummy@xyz.com,818876500,ACT,10008,PWD,True,now()
eng,110100,9317596838,Dummy User,Dummy@xyz.com,818876501,ACT,10008,PWD,True,now()
eng,110101,9317596839,Dummy User,Dummy@xyz.com,818876502,ACT,10008,PWD,True,now()
eng,110102,9317596840,Dummy User,Dummy@xyz.com,818876503,ACT,10001,PWD,True,now()
eng,110103,9317596841,Dummy User,Dummy@xyz.com,818876504,ACT,10001,PWD,True,now()
eng,110104,9317596842,Dummy User,Dummy@xyz.com,818876505,ACT,10001,PWD,True,now()
eng,110105,9317596843,Dummy User,Dummy@xyz.com,818876506,ACT,10001,PWD,True,now()
eng,110106,9317596844,Dummy User,Dummy@xyz.com,818876507,ACT,10001,PWD,True,now()
eng,110107,9317596845,Dummy User,Dummy@xyz.com,818876508,ACT,10001,PWD,True,now()
eng,110108,9317596846,Dummy User,Dummy@xyz.com,818876509,ACT,10001,PWD,True,now()
eng,110109,9317596847,Dummy User,Dummy@xyz.com,818876510,ACT,10001,PWD,True,now()
eng,110110,9317596848,Dummy User,Dummy@xyz.com,818876511,ACT,10001,PWD,True,now()
eng,110111,9317596849,Dummy User,Dummy@xyz.com,818876512,ACT,10001,PWD,True,now()
eng,110112,9317596850,Dummy User,Dummy@xyz.com,818876513,ACT,10001,PWD,True,now()
eng,110113,9317596851,Dummy User,Dummy@xyz.com,818876514,ACT,10001,PWD,True,now()
eng,110114,9317596852,Dummy User,Dummy@xyz.com,818876515,ACT,10001,PWD,True,now()
eng,110115,9317596853,Dummy User,Dummy@xyz.com,818876516,ACT,10001,PWD,True,now()
eng,110116,9317596854,Dummy User,Dummy@xyz.com,818876517,ACT,10001,PWD,True,now()
eng,110117,9317596855,Dummy User,Dummy@xyz.com,818876518,ACT,10001,PWD,True,now()
eng,110118,9317596856,Jane ,Jane.rose@technoforte.co.in,9840587089,ACT,10001,PWD,True,now()
eng,110119,9317596857,Piyush ,piyush.singh@technoforte.co.in,8277417831,ACT,10002,PWD,True,now()
eng,110120,9317596858,Suchana ,suchana.kankonkar@technoforte.co.in,9980939623,ACT,10001,PWD,True,now()
eng,110121,9317596859,Swapna ,swapna.p@technoforte.co.in,9741112380,ACT,10002,PWD,True,now()
eng,110122,9317596860,Niyati ,niyati.swami@technoforte.co.in,9606139887,ACT,10001,PWD,True,now()
eng,110123,9317596861,Hemant ,Hemant.vadher@technoforte.co.in,9441781690,ACT,10002,PWD,True,now()
eng,110124,9317596862,Sanjeev ,sanjeev.shrivastava@technoforte.co.in,8553967572,ACT,10001,PWD,True,now()
eng,110125,9317596863,Alok ,alok.tiwari@technoforte.co.in,8800932977,ACT,10001,PWD,True,now()
eng,110126,9317596864,Nikhilesh ,nikhilesh.kumar@technoforte.co.in,8600097143,ACT,10002,PWD,True,now()
eng,110127,9317596865,Chandra  ,chandra.mishra@technoforte.co.in,9851646105,ACT,10002,PWD,True,now()
eng,110128,9317596866,Ankit,ankit.vaishnav@technoforte.co.in,7738710535,ACT,10002,PWD,True,now()
eng,110129,9317596867,Mosip Test,mosip-test1@technoforte.co.in,9876543212,ACT,10001,PWD,True,now()
eng,110130,9317596868,Testuser1,mosip-test2@technoforte.co.in,9876543213,ACT,10001,PWD,True,now()
eng,110131,9317596869,Testuser2,mosip-test3@technoforte.co.in,9876543214,ACT,10002,PWD,True,now()
